"PolicyNumber";"ProposalNumber";"Proses";"AgentCd";"productCd";"CreatedDate";"TransactionId"
"11834308";"9000001409";TUP;"01005497";U2T;2021-06-30 11:47:05;b76798de-2538-4747-a085-4bf1d024ba33
"13249221";"200277522";TUP;"01005487";U4D;2021-06-29 13:50:43;"81ddc328-57ee-4d1b-aca5-efe53c515aa0"
"13728932";"9700170502";SWI;"01004696";U2Z;2021-06-29 11:42:34;d2af56f7-c7f4-40bc-8967-c052bc61e4f9
"13546031";"9700154435";SWI;"01005591";U2Z;2021-06-28 14:41:25;d9fe1122-bbea-4a01-97bb-ec80a2ff0bf8
"10930616";"200019009";TUP;"01005430";U2L;2021-06-24 12:26:24;d91d0159-3538-46ce-bc76-2d863a5e68bf
"13087775";"9000146777";SWI;"01004696";U2T;2021-06-23 11:27:10;"268d3144-06f2-41a7-81d5-aaf72f63992b"
"12309148";"9000041917";SWI;"01005555";U2Z;2021-06-21 11:06:34;b5ffc6ee-806b-47f8-a87b-b32b6e681a89
"13256818";"9000148380";TUP;"01004479";U4D;2021-06-18 08:57:15;af9432f1-87b1-4e29-b523-5b5a82a9ad52
"13309493";"9000148938";TUP;"01005487";U4K;2021-06-17 14:56:59;e6cc156b-988d-4ba0-98b6-066e262b3c3a
"13309493";"9000148938";TUP;"01005487";U4K;2021-06-17 14:41:41;"1eaa2768-aa84-4dd4-b9a1-6aba7dfc2272"
"13309493";"9000148938";TUP;"01005487";U4K;2021-06-17 14:41:25;"3ef46b44-c6ff-48ec-8b95-efc6923a67d5"
"13309493";"9000148938";TUP;"01005487";U4K;2021-06-17 14:41:03;"831da647-d20e-49d2-a15e-f2738fdd7599"
"13340994";"9700142508";SWI;"01005618";U2N;2021-06-15 11:46:49;"6690fad3-3d00-42ab-81cf-b425d7f3f470"
"13581196";"200300180";TUP;"01005432";U4K;2021-06-15 11:44:13;a83ea54d-b2cb-4eb3-bdbd-1fc7a751336b
"13256818";"9000148380";TUP;"01004479";U4D;2021-06-15 11:19:18;"4fcb1b98-cab1-43f2-a7a3-d020e1bbd06b"
"13006732";"200261787";TUP;"01004479";U4D;2021-06-15 11:15:16;a811d8e5-8d60-46b6-8ba5-8f551c99d582
